lsoa_code,dominant_crime,latitude,longitude
E01000001,Violence and sexual offences,51.519045,-0.097103
E01000002,Violence and sexual offences,51.519664500000005,-0.091495
E01000003,Violence and sexual offences,51.521667,-0.095648
E01000005,Violence and sexual offences,51.513092,-0.075401
E01000006,Violence and sexual offences,51.538745,0.08788499999999999
E01000007,Violence and sexual offences,51.54011,0.080167
E01000008,Violence and sexual offences,51.540025,0.071214
E01000009,Violence and sexual offences,51.540987,0.08366
E01000011,Violence and sexual offences,51.542708,0.081669
E01000012,Violence and sexual offences,51.5432115,0.0764325
E01000013,Violence and sexual offences,51.543041,0.148526
E01000014,Violence and sexual offences,51.54514,0.14287
E01000015,Violence and sexual offences,51.54399,0.156258
E01000016,Violence and sexual offences,51.550872,0.155448
E01000017,Violence and sexual offences,51.548196,0.146393
E01000018,Violence and sexual offences,51.546881,0.153167
E01000019,Violence and sexual offences,51.5591,0.119928
E01000020,Violence and sexual offences,51.557385,0.125788
E01000021,Violence and sexual offences,51.555047,0.117287
E01000022,Violence and sexual offences,51.554082,0.12157699999999999
E01000024,Violence and sexual offences,51.551818,0.121723
E01000025,Violence and sexual offences,51.549454,0.116719
E01000027,Violence and sexual offences,51.588063,0.140156
E01000028,Violence and sexual offences,51.584227,0.129358
E01000029,Violence and sexual offences,51.579567,0.1352595
E01000030,Violence and sexual offences,51.584166,0.135579
E01000031,Violence and sexual offences,51.575957,0.13972099999999998
E01000032,Violence and sexual offences,51.57228,0.134477
E01000033,Violence and sexual offences,51.555799,0.162179
E01000034,Violence and sexual offences,51.555404,0.168126
E01000035,Violence and sexual offences,51.549608,0.16255750000000002
E01000036,Violence and sexual offences,51.54511,0.16463
E01000037,Violence and sexual offences,51.563135,0.179995
E01000038,Violence and sexual offences,51.564125000000004,0.17481000000000002
E01000039,Violence and sexual offences,51.557332,0.179199
E01000040,Violence and sexual offences,51.536418,0.095023
E01000041,Violence and sexual offences,51.5369605,0.117376
E01000042,Violence and sexual offences,51.537789,0.105811
E01000043,Violence and sexual offences,51.533530999999996,0.0985375
E01000044,Violence and sexual offences,51.536312,0.0920425
E01000045,Violence and sexual offences,51.533283,0.107049
E01000046,Violence and sexual offences,51.536448,0.11998600000000001
E01000049,Violence and sexual offences,51.53002,0.086233
E01000050,Violence and sexual offences,51.534678,0.085962
E01000051,Violence and sexual offences,51.534302,0.082569
E01000052,Violence and sexual offences,51.531938,0.094619
E01000053,Violence and sexual offences,51.532937,0.146749
E01000054,Violence and sexual offences,51.537747,0.133136
E01000055,Violence and sexual offences,51.536169,0.127283
E01000056,Violence and sexual offences,51.533543,0.139032
E01000057,Violence and sexual offences,51.538645,0.127913
E01000058,Violence and sexual offences,51.539809,0.135076
E01000059,Violence and sexual offences,51.538385,0.141091
E01000060,Violence and sexual offences,51.558568,0.150982
E01000061,Violence and sexual offences,51.56152,0.152088
E01000062,Violence and sexual offences,51.55383,0.153081
E01000063,Violence and sexual offences,51.557175,0.145186
E01000064,Violence and sexual offences,51.553044,0.158213
E01000065,Violence and sexual offences,51.551755,0.145046
E01000066,Violence and sexual offences,51.546968,0.106523
E01000067,Violence and sexual offences,51.546861,0.100163
E01000068,Violence and sexual offences,51.542742,0.086328
E01000069,Violence and sexual offences,51.54419,0.098928
