month,food_inflation
2023-01-01,16.7
2023-02-01,18.0
2023-03-01,19.1
2023-04-01,19.0
2023-05-01,18.3
2023-06-01,17.3
2023-07-01,14.8
2023-08-01,13.6
2023-09-01,12.1
2023-10-01,10.1
2023-11-01,9.2
2023-12-01,8.0
2024-01-01,6.9
2024-02-01,5.0
2024-03-01,4.0
2024-04-01,2.9
2024-05-01,1.7
2024-06-01,1.5
2024-07-01,1.5
2024-08-01,1.3
2024-09-01,1.9
2024-10-01,1.9
2024-11-01,2.0
2024-12-01,2.0
2025-01-01,3.3
2025-02-01,3.3
2025-03-01,3.0
2025-04-01,3.4
2025-05-01,4.4
2025-06-01,4.5
2025-07-01,4.9
2025-08-01,5.1
2025-09-01,4.5
2025-10-01,4.9
2025-11-01,4.2
2025-12-01,4.5
