lsoa_code,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,crime_count,population,crime_rate,log_crime_rate,latitude,longitude
E01000001,6.208,0.007,0.01,0.024,-1.654,29.472,31.873,540,1829.0,295.24,5.691169936605357,51.517699640740744,-0.09744179814814814
E01000002,5.143,0.034,0.027,0.063,-1.115,24.412,23.084,1392,1664.0,836.54,6.730469023752722,51.519126053160925,-0.09186192456896551
E01000003,19.402,0.086,0.086,5.804,-0.102,40.103,40.535,455,1943.0,234.17,5.46030865686874,51.52189388351649,-0.0957061934065934
E01000005,28.652,0.211,0.136,22.26,-0.121,39.9,28.979,2580,1762.0,1316.1433999999997,7.183220579642747,51.513331355038765,-0.07535481317829457
E01000006,19.837,0.117,0.059,14.798,-0.359,45.171,26.888,307,1843.0,166.58,5.121460849185141,51.53909719218241,0.08813038110749186
E01000007,31.576,0.207,0.107,11.385,-0.027,50.42,25.995,1887,2992.0,630.68,6.448382936805062,51.54022049761526,0.07839876470588235
E01000008,37.596,0.265,0.151,25.506,0.25,45.413,30.233,1265,1758.0,719.57,6.5800425654740025,51.539109511462456,0.07110806007905138
E01000009,32.844,0.187,0.109,15.713,0.454,48.119,28.601,1084,1859.0,583.11,6.370089321255816,51.540641251845024,0.08311548523985239
E01000011,30.679,0.167,0.081,22.519,-0.137,52.948,39.857,274,1733.0,158.11,5.069595786919765,51.54251913138686,0.08109119708029197
E01000012,34.714,0.239,0.096,19.774,-0.056,56.507,36.881,877,2350.0,373.19,5.924763689805728,51.543253989737735,0.07545182668187
E01000013,38.997,0.213,0.145,24.003,0.67,45.252,30.424,1076,1887.0,570.22,6.3477744244180005,51.54294310223048,0.1482026505576208
E01000014,35.67,0.201,0.135,31.501,0.35,46.135,25.122,547,1761.0,310.62,5.741784496789209,51.544253447897624,0.14253927422303472
E01000015,33.632,0.216,0.123,26.013,0.025,50.4,25.696,439,2350.0,186.81,5.2354308134928464,51.54403658769932,0.1559454874715262
E01000016,32.839,0.199,0.122,28.996,0.373,43.772,24.95,339,1833.0,184.94,5.225424041027712,51.54961643657818,0.15195972861356932
E01000017,39.004,0.25,0.169,22.899,0.694,45.929,27.688,195,1739.0,112.13,4.728537599938376,51.549328938461535,0.1463980205128205
E01000018,33.406,0.212,0.136,26.358,0.273,43.512,25.659,198,1761.0,112.44,4.731274062783817,51.54675215656566,0.15278965151515153
E01000019,33.62,0.194,0.138,26.111,0.477,41.248,26.826,223,1651.0,135.07,4.913169459202767,51.559202443946184,0.12086714798206279
E01000020,36.035,0.216,0.131,24.184,0.76,43.518,30.078,388,2196.0,176.68,5.179984179586172,51.55739735309279,0.12580505412371135
E01000021,38.888,0.23,0.136,31.637,0.418,45.544,44.214,562,1688.0,332.94,5.810961336120811,51.55547187188612,0.11681843772241993
E01000022,34.413,0.195,0.139,27.111,0.427,44.277,30.435,297,1436.0,206.82,5.3366723204245,51.55446489225589,0.12138732996632996
E01000024,29.339,0.155,0.1,29.298,0.263,45.704,29.869,421,1486.0,283.31,5.650065192150214,51.551497976247035,0.12044511876484561
E01000025,36.702,0.219,0.138,25.691,0.395,47.029,28.042,450,1939.0,232.08,5.451381742274873,51.549569251111116,0.11750531555555556
E01000027,37.347,0.216,0.146,38.122,0.148,44.976,20.329,891,2081.0,428.16,6.061829809768546,51.58741926823794,0.13934937373737374
E01000028,40.078,0.26,0.155,27.699,1.138,48.625,16.282,519,1816.0,285.79,5.6587502406140935,51.58489993256262,0.1292430366088632
E01000029,22.503,0.113,0.075,17.349,-0.28,47.51,21.974,551,1936.0,284.61,5.654627243858056,51.58028316878403,0.1354426497277677
E01000030,38.415,0.264,0.162,38.753,0.016,44.592,20.993,848,2545.0,333.2,5.811739616161293,51.58393021462264,0.13610360023584905
E01000031,22.672,0.126,0.075,12.953,0.046,34.14,27.703,464,1827.0,253.97,5.541145891178645,51.575906497844834,0.13971647413793103
E01000032,29.958,0.146,0.106,23.035,0.095,39.922,38.369,929,2062.0,450.53,6.112641815832381,51.573015198062436,0.13465762970936493
E01000033,37.978,0.257,0.136,32.037,0.278,55.686,21.763,365,1514.0,241.08,5.489268250040046,51.55507949589041,0.16329301369863014
E01000034,35.895,0.216,0.147,33.858,0.661,45.083,18.01,379,1634.0,231.95,5.450823838262806,51.55746597889182,0.17200351187335092
E01000035,26.175,0.15,0.092,25.536,0.397,39.025,23.071,628,1867.0,336.37,5.821180250924531,51.549817578025475,0.16337599522292995
E01000036,19.27,0.112,0.073,15.969,-0.185,31.724,27.612,847,1443.0,586.97,6.376675926188878,51.545245370720195,0.16409823258559625
E01000037,17.988,0.096,0.101,20.288,-0.504,29.715,19.057,113,1744.0,64.79,4.186467851097906,51.562530566371684,0.1793734336283186
E01000038,19.646,0.127,0.079,18.702,-0.103,27.945,27.001,429,1646.0,260.63,5.566931291907004,51.56386798601399,0.17447816550116552
E01000039,22.288,0.127,0.074,19.753,0.173,42.779,17.527,420,1844.0,227.77,5.432717132027692,51.55679057857142,0.17802870476190477
E01000040,34.608,0.218,0.123,31.332,0.155,45.801,29.323,473,1826.0,259.04,5.560835465336268,51.53656042917547,0.0966509133192389
E01000041,33.173,0.172,0.105,33.867,0.349,48.606,33.127,295,1806.0,163.34,5.101937452503042,51.537950088135595,0.11695530169491526
E01000042,41.573,0.263,0.164,31.45,0.526,57.015,24.75,634,1887.0,335.98,5.820023581410239,51.53742111671924,0.105793023659306
E01000043,28.075,0.147,0.085,28.946,0.044,42.921,33.853,361,1554.0,232.3,5.452325179027384,51.53408984487535,0.09839880886426591
E01000044,28.389,0.133,0.079,22.263,-0.41,42.638,44.13,471,1966.0,239.57,5.483011107487047,51.53572201273885,0.09151834182590234
E01000045,35.688,0.188,0.125,24.013,0.279,44.514,35.245,960,1736.0,553.0,6.317164686747284,51.53359400833334,0.10856489791666667
E01000046,29.763,0.17,0.111,28.185,0.222,45.338,30.26,389,1918.0,202.82,5.317237251400548,51.53662816452442,0.12039122107969152
E01000049,41.172,0.29,0.143,27.852,0.409,55.298,26.588,486,1703.0,285.38,5.65731960024586,51.530318329218105,0.08606639300411524
E01000050,34.701,0.176,0.114,22.642,0.61,48.003,36.588,518,1878.0,275.83,5.623403599373554,51.53462905598455,0.08568131081081082
E01000051,36.941,0.234,0.13,28.197,0.391,45.996,27.521,418,1129.0,370.24,5.916848753727192,51.53425196172248,0.08271157894736841
E01000052,33.284,0.188,0.111,27.403,-0.153,51.774,38.532,451,2468.0,182.74,5.213521714843321,51.532671126385814,0.09284740576496675
E01000053,40.044,0.229,0.126,27.703,0.701,49.479,26.503,316,1668.0,189.45,5.249389692924613,51.53288738607595,0.14451470253164558
E01000054,29.788,0.18,0.096,26.697,0.198,42.507,31.481,379,1835.0,206.54,5.3353240921771325,51.537026767810026,0.13296182321899735
E01000055,30.898,0.211,0.114,27.143,0.126,43.185,29.369,306,1600.0,191.25,5.258796608385754,51.53609982679738,0.12652666013071895
E01000056,35.903,0.197,0.144,25.304,0.455,51.736,23.506,431,1648.0,261.53,5.570365361215849,51.533681055684454,0.13794861020881669
E01000057,32.887,0.196,0.118,31.462,0.097,43.725,30.046,726,1597.0,454.6,6.121615231573027,51.53863523002755,0.12772474655647384
E01000058,31.763,0.199,0.117,25.845,0.147,46.251,27.809,555,2161.0,256.83,5.552300453013218,51.53955974054054,0.1354340036036036
E01000059,32.331,0.176,0.129,28.14,0.136,45.241,32.699,378,1709.0,221.18,5.403487864153576,51.53669125132275,0.14216788095238095
E01000060,36.154,0.202,0.129,25.54,0.282,48.53,24.729,850,2203.0,385.84,5.958011170848763,51.558161688235295,0.1514858482352941
E01000061,46.283,0.303,0.186,39.776,1.013,49.627,15.967,1012,1980.0,511.11,6.2385394457138945,51.56115396146245,0.15318836067193675
E01000062,26.669,0.143,0.088,30.73,-0.143,45.088,20.153,672,2201.0,305.32,5.724630307169039,51.553722894345235,0.15273772470238095
E01000063,33.371,0.181,0.124,37.624,0.286,41.886,35.452,255,1723.0,148.0,5.003946305945459,51.55577434901961,0.1453959176470588
E01000064,35.283,0.208,0.13,24.438,0.39,50.054,34.175,645,2300.0,280.43,5.639883748805969,51.553456536434105,0.1573498403100775
E01000065,39.89,0.228,0.173,26.185,0.817,47.453,29.31,516,1973.0,261.53,5.570365361215849,51.5522918624031,0.14435489534883722
E01000066,25.763,0.147,0.097,18.294,0.054,50.656,17.916,564,2555.0,220.74,5.401505524344206,51.5467017606383,0.10682090780141844
E01000067,20.973,0.132,0.066,15.99,-0.388,42.456,21.711,382,2235.0,170.92,5.147029252334255,51.547367096858636,0.09964671727748692
E01000068,25.603,0.123,0.075,16.187,0.167,41.502,31.382,706,1764.0,400.23,5.9945348289652,51.543067715297454,0.08696937818696884
E01000069,16.375,0.087,0.07,16.481,-0.626,31.781,28.36,277,2169.0,127.71,4.857561811661286,51.543737429602885,0.09961054151624549
E01000070,21.038,0.11,0.077,14.434,-0.442,35.596,27.639,968,2092.0,462.72,6.139280921802201,51.54545173243802,0.0942779173553719
E01000071,18.848,0.13,0.058,14.114,-0.261,40.981,22.064,591,2625.0,225.14,5.421154276507099,51.53961240101523,0.0992745008460237
E01000072,41.016,0.241,0.138,34.242,0.478,46.957,30.082,734,2150.0,341.4,5.835979644267587,51.54205566621253,0.11417657901907358
E01000073,38.757,0.209,0.135,35.14,0.57,43.442,23.636,350,1851.0,189.09,5.247497644218062,51.54703225714285,0.11536517142857142
E01000074,35.044,0.234,0.128,32.398,0.461,47.408,22.806,457,1733.0,263.7,5.578597109233056,51.54539684463895,0.12073569803063458
E01000075,36.999,0.196,0.118,36.347,0.136,44.869,39.815,558,2081.0,268.14,5.595231690313395,51.54180203763441,0.12639889964157705
E01000076,36.246,0.208,0.148,36.193,0.097,49.87,27.02,334,2182.0,153.07,5.037407044593683,51.54127333233533,0.11970659281437127
E01000077,41.032,0.251,0.159,33.494,0.725,44.143,35.02,312,1753.0,177.98,5.1872740677547124,51.54947799679487,0.12586515384615385
E01000078,35.033,0.228,0.128,33.668,0.035,44.311,33.091,633,1961.0,322.79,5.7800951575053645,51.55209579620853,0.13245914533965245
E01000079,34.522,0.227,0.141,24.526,0.045,48.007,29.325,311,1762.0,176.5,5.178970608915471,51.54702222508038,0.1415377845659164
E01000080,33.185,0.19,0.146,26.379,0.445,45.385,24.492,322,1766.0,182.33,5.211287807574934,51.54879939751552,0.1309228695652174
E01000081,30.608,0.162,0.116,30.952,0.225,43.718,32.758,373,1980.0,188.38,5.243755578555354,51.5501498310992,0.1387374852546917
E01000082,27.895,0.158,0.113,31.053,-0.111,43.176,30.006,959,1852.0,517.82,6.251557002200394,51.55447771115745,0.14050505422314913
E01000083,34.377,0.196,0.134,27.072,0.361,44.245,35.395,310,1978.0,156.72,5.060821309009427,51.55319669354839,0.1271183258064516
E01000084,39.815,0.229,0.141,36.839,0.338,43.432,28.534,382,1409.0,271.11,5.6062063963083055,51.53940977486911,0.14598155235602095
E01000085,35.154,0.189,0.124,36.259,-0.227,46.139,32.465,425,1624.0,261.7,5.571012696691494,51.53732174588235,0.15096147764705883
E01000086,38.156,0.218,0.142,28.503,0.89,42.757,26.281,422,1443.0,292.45,5.681707267004343,51.537420443127964,0.1460152559241706
E01000087,34.357,0.226,0.131,27.171,0.046,48.565,31.357,1113,1655.0,672.51,6.512502843550139,51.532263175202154,0.1494939433962264
E01000088,28.849,0.147,0.1,20.313,0.264,44.005,34.525,465,2011.0,231.23,5.447728259884732,51.53347065376344,0.1547156322580645
E01000089,28.968,0.156,0.092,25.246,-0.154,47.254,40.955,210,1819.0,115.45,4.75746199633035,51.53132857142857,0.16008890952380952
E01000090,28.317,0.169,0.091,22.024,-0.187,45.475,29.464,1027,1683.0,610.22,6.41545695983003,51.52880923661149,0.1584583446932814
E01000091,42.183,0.256,0.175,32.562,0.324,48.266,23.563,430,2097.0,205.05,5.328118857784826,51.527666330232556,0.1091027976744186
E01000093,46.922,0.26,0.169,27.955,0.842,49.657,43.57,501,1793.0,279.42,5.636288479292985,51.52865888423153,0.1019332634730539
E01000094,28.182,0.167,0.094,10.866,-0.036,64.961,20.692,728,2615.0,278.39,5.632608655201676,51.52544895741758,0.11683955631868131
E01000095,32.254,0.196,0.095,22.314,-0.111,63.151,18.657,2902,2350.0,1234.89,7.1195466372934355,51.53092427498277,0.13701277257064093
E01000096,40.926,0.259,0.135,34.307,0.008,48.317,29.982,661,1626.0,406.52,6.010090011231147,51.53211119515885,0.11667222995461422
E01000097,38.009,0.223,0.131,32.926,0.808,47.096,28.566,484,1934.0,250.26,5.526488259576272,51.564095599173555,0.13001910743801653
E01000098,39.405,0.239,0.159,31.389,0.443,43.482,28.673,543,1937.0,280.33,5.639528357516423,51.56013407366483,0.1277573388581952
E01000099,29.266,0.174,0.105,25.037,0.214,47.111,26.795,703,2766.0,254.16,5.541890799373754,51.56203181081081,0.1334876586059744
E01000100,31.83,0.16,0.117,29.622,0.106,42.938,38.207,371,1926.0,192.63,5.265949121515307,51.559056218328834,0.1390256091644205
E01000101,40.463,0.254,0.154,28.988,0.464,43.29,37.223,793,1686.0,470.34,6.155579701959949,51.55921201765448,0.1460468839848676
E01000102,42.631,0.275,0.175,23.976,0.684,44.376,33.8,371,1815.0,204.41,5.325007981801082,51.557708940700806,0.13209666037735848
E01000103,32.894,0.18,0.113,26.208,0.427,50.872,20.068,401,1777.0,225.66,5.4234510973048025,51.53633820698254,0.16580206483790522
