month,count
2023-01-01,85837
2023-02-01,81914
2023-03-01,89436
2023-04-01,86208
2023-05-01,96166
2023-06-01,104823
2023-07-01,99245
2023-08-01,94267
2023-09-01,96002
2023-10-01,95825
2023-11-01,96802
2023-12-01,93419
2024-01-01,91396
2024-02-01,91539
2024-03-01,92282
2024-04-01,90959
2024-05-01,97928
2024-06-01,97518
2024-07-01,101028
2024-08-01,98287
2024-09-01,94656
2024-10-01,101598
2024-11-01,98752
2024-12-01,91742
2025-01-01,87519
2025-02-01,84299
2025-03-01,94282
2025-04-01,93907
2025-05-01,100122
2025-06-01,101580
2025-07-01,107390
2025-08-01,99803
2025-09-01,93920
2025-10-01,99257
2025-11-01,94871
2025-12-01,91716
