month,drug_searches,drug_crimes
2023-01-01,10472,3508
2023-02-01,8015,2921
2023-03-01,8330,3068
2023-04-01,6805,2823
2023-05-01,6840,3055
2023-06-01,6532,3442
2023-07-01,7800,3276
2023-08-01,7934,3381
2023-09-01,7225,3005
2023-10-01,6574,2703
2023-11-01,5046,2721
2023-12-01,5093,2454
2024-01-01,5577,2731
2024-02-01,5073,2766
2024-03-01,6239,2647
2024-04-01,5139,2556
2024-05-01,5193,2838
2024-06-01,4856,2757
2024-07-01,5195,2944
2024-08-01,5523,3138
2024-09-01,5957,3747
2024-10-01,6405,4055
2024-11-01,6703,4258
2024-12-01,5488,3951
2025-01-01,6939,4150
2025-02-01,6300,3757
2025-03-01,6508,4058
2025-04-01,6072,4636
2025-05-01,6211,4975
2025-06-01,6257,4582
2025-07-01,6480,4898
2025-08-01,7809,5070
2025-09-01,6943,4553
2025-10-01,6910,4743
2025-11-01,7343,4551
2025-12-01,7323,4451
