month,ethnicity_officer,count
2023-01-01,Asian,2570
2023-01-01,Black,5987
2023-01-01,Other,986
2023-01-01,White,6614
2023-02-01,Asian,1898
2023-02-01,Black,5028
2023-02-01,Other,798
2023-02-01,White,5794
2023-03-01,Asian,1957
2023-03-01,Black,5188
2023-03-01,Other,750
2023-03-01,White,6294
2023-04-01,Asian,1524
2023-04-01,Black,4602
2023-04-01,Other,689
2023-04-01,White,5230
2023-05-01,Asian,1770
2023-05-01,Black,4954
2023-05-01,Other,745
2023-05-01,White,4868
2023-06-01,Asian,1643
2023-06-01,Black,4661
2023-06-01,Other,659
2023-06-01,White,4521
2023-07-01,Asian,1971
2023-07-01,Black,5021
2023-07-01,Other,721
2023-07-01,White,5270
2023-08-01,Asian,1929
2023-08-01,Black,5871
2023-08-01,Other,785
2023-08-01,White,5405
2023-09-01,Asian,1655
2023-09-01,Black,4791
2023-09-01,Other,659
2023-09-01,White,4822
2023-10-01,Asian,1684
2023-10-01,Black,4510
2023-10-01,Other,793
2023-10-01,White,4668
2023-11-01,Asian,1408
2023-11-01,Black,3179
2023-11-01,Other,615
2023-11-01,White,3833
2023-12-01,Asian,1249
2023-12-01,Black,3526
2023-12-01,Other,613
2023-12-01,White,3660
2024-01-01,Asian,1444
2024-01-01,Black,3596
2024-01-01,Other,639
2024-01-01,White,3942
2024-02-01,Asian,1375
2024-02-01,Black,3468
2024-02-01,Other,549
2024-02-01,White,3689
2024-03-01,Asian,1483
2024-03-01,Black,4070
2024-03-01,Other,569
2024-03-01,White,4489
2024-04-01,Asian,1337
2024-04-01,Black,3422
2024-04-01,Other,489
2024-04-01,White,3657
2024-05-01,Asian,1362
2024-05-01,Black,3709
2024-05-01,Other,515
2024-05-01,White,3463
2024-06-01,Asian,1338
2024-06-01,Black,3548
2024-06-01,Other,522
2024-06-01,White,3221
2024-07-01,Asian,1249
2024-07-01,Black,3453
2024-07-01,Other,486
2024-07-01,White,3485
2024-08-01,Asian,1379
2024-08-01,Black,5081
2024-08-01,Other,571
2024-08-01,White,3478
2024-09-01,Asian,1522
2024-09-01,Black,4074
2024-09-01,Other,26
2024-09-01,White,3661
2024-10-01,Asian,1516
2024-10-01,Black,4349
2024-10-01,Other,16
2024-10-01,White,4194
2024-11-01,Asian,1609
2024-11-01,Black,4256
2024-11-01,Other,33
2024-11-01,White,4257
2024-12-01,Asian,1347
2024-12-01,Black,3531
2024-12-01,Other,11
2024-12-01,White,3439
2025-01-01,Asian,1698
2025-01-01,Black,4607
2025-01-01,Other,12
2025-01-01,White,4215
2025-02-01,Asian,1469
2025-02-01,Black,4074
2025-02-01,Other,12
2025-02-01,White,3943
2025-03-01,Asian,1489
2025-03-01,Black,4381
2025-03-01,Other,16
2025-03-01,White,4377
2025-04-01,Asian,1463
2025-04-01,Black,4268
2025-04-01,Other,18
2025-04-01,White,4059
2025-05-01,Asian,1565
2025-05-01,Black,4308
2025-05-01,Other,617
2025-05-01,White,3869
2025-06-01,Asian,1547
2025-06-01,Black,4391
2025-06-01,Other,584
2025-06-01,White,3857
2025-07-01,Asian,1654
2025-07-01,Black,4551
2025-07-01,Other,638
2025-07-01,White,4067
2025-08-01,Asian,1824
2025-08-01,Black,7576
2025-08-01,Other,746
2025-08-01,White,4416
2025-09-01,Asian,1634
2025-09-01,Black,4617
2025-09-01,Other,600
2025-09-01,White,3898
2025-10-01,Asian,1760
2025-10-01,Black,4668
2025-10-01,Other,734
2025-10-01,White,4137
2025-11-01,Asian,1799
2025-11-01,Black,4815
2025-11-01,Other,804
2025-11-01,White,4458
2025-12-01,Asian,1928
2025-12-01,Black,4471
2025-12-01,Other,709
2025-12-01,White,4224
